timestamp,encoderR,encoderL
28902920,9948.83,12326.07
28912965,10034.24,12347.25
28922905,10113.57,12367.76
28932890,10194.48,12384.68
28942907,10276.59,12401.62
28952926,10360.06,12418.88
28962922,10437.05,12514.2
28972898,10519.43,12534.36
28982940,10605.23,12555.89
28992906,10679.28,12576.39
29003000,10760.34,12598.83
29012950,10835.74,12620.64
29022941,10913.79,12641.4
29032894,10999.42,12664.6
29042900,11068.73,12690.87
29052967,11143.68,12716.46
29062947,11209.57,12742.76
29072922,11276.38,12766.92
29082920,11344.73,12869.09
29092933,11409.93,12902.33
29102963,11465.6,12940.59
29112999,11527.16,12974.58
29123097,11580.6,13011.12
29132895,11635.0,13048.69
29142907,11691.04,13092.05
29152932,11745.17,13128.02
29163019,11791.61,13128.02
29173040,11842.88,13128.02
29182917,11889.07,13128.02
29192948,11936.47,13128.02
29202899,11974.88,13058.2
29212917,12015.85,13104.01
29222890,12060.51,13224.14
29232939,12102.75,13267.7
29242971,12139.33,13318.41
29252942,12177.83,13360.53
29262893,12211.69,13412.34
29272945,12247.68,13465.1
29282934,12278.69,13585.52
29292896,12307.94,13638.38
29302949,12338.77,13688.81
29312919,12366.04,13740.13
29322909,12403.29,13793.98
29332927,12431.96,13844.79
29342934,12464.07,13972.14
29352915,12491.71,14024.64
29362917,12520.73,14077.68
29372940,12545.93,14130.06
29382961,12571.59,14186.69
29392907,12601.29,14309.02
29402919,12627.79,14362.71
29412955,12656.88,14411.75
29422906,12682.71,14461.48
29432922,12710.6,14517.34
29442937,12735.85,14561.67
29453085,12771.74,14627.87
29463581,12794.44,14734.88
29472908,12823.43,14791.64
29482919,12852.67,14841.41
29492905,12878.78,14898.28
29502889,12907.34,15020.95
29512906,12932.8,15074.29
29522995,12958.7,15133.11
29532908,12979.43,15185.76
29542890,12999.29,15249.48
29552921,13018.46,15297.45
29562958,13034.0,15434.36
29572918,13051.77,15488.87
29582924,13069.3,15542.74
29592902,13089.85,15596.48
29602987,13119.12,15643.81
29612906,13139.63,15767.95
29622929,13162.45,15817.62
29633026,13182.77,15868.38
29642930,13204.84,15916.22
29652957,13224.01,15972.24
29662914,13244.4,16013.4
29673017,13267.61,16138.95
29682929,13288.14,16191.52
29692908,13310.44,16235.82
29702930,13329.68,16288.18
29712931,13349.62,16337.43
29723022,13372.56,16460.95
29732920,13393.9,16502.86
29743052,13416.62,16554.89
29752932,13436.81,16602.89
29762956,13466.01,16650.78
29772916,13487.04,16702.44
29782970,13508.29,16820.96
29792929,13531.31,16868.99
29802910,13552.48,16916.54
29812956,13576.38,16963.18
29822959,13598.43,17013.53
29832923,13623.89,17059.43
29842953,13649.89,17099.67
29852962,13677.16,17217.1
29862979,13702.89,17180.96
29873780,13726.46,17180.96
29882951,13766.77,17180.96
29893093,13804.68,17180.96
29902936,13848.1,17180.96
29912932,13880.03,17181.19
29922928,13915.68,17222.05
29932962,13950.29,17261.13
