timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,theta_ins,ax_global_ms2,ay_global_ms2,vx_ins_ms,vy_ins_ms,v_ins_ms,x_ins,y_ins
26342,-223,-1262,9284,-4217,-1510,2141,10.0,-1.702290076335878,-9.633587786259541,70.87022900763358,-2.5240871002197265,-0.9038111267089843,1.2814964385986327,0.05782662182455459,2.467632884548703,1.048178510251206,0.5184843088606337,0.012894978667875283,0.5186446365379034,202.2512113279566,-8.391988522988536
26352,-1503,-1412,10801,-1665,2314,5741,10.0,-11.473282442748092,-10.778625954198473,82.45038167938931,-0.996586441040039,1.3850456604003905,3.4362779327392574,0.07120636916283671,1.0926017395297034,-1.310632463597431,0.5362854819810222,0.011582708901144418,0.5364105492336126,207.52506028216385,-8.269600085143463
26362,320,420,10198,-1241,-3122,765,10.0,2.4427480916030535,3.2061068702290076,77.8473282442748,-0.7428010650634765,-1.868674395751953,0.4578910675048828,0.08519498327071252,0.5810978334371155,1.9251033030913045,0.5446539798458576,0.014655063098614267,0.5448511068506297,212.92975759129908,-8.138411225144647
26372,689,-93,10492,2439,-534,1517,10.0,5.259541984732825,-0.7099236641221374,80.09160305343511,1.4598644622802734,-0.31962592163085934,0.9080009796142577,0.09897775511184058,-1.4843036745705347,0.1738032786332195,0.5401379506401914,0.0251495960072348,0.5407231342388755,218.35371724372825,-7.9393879296154415
26382,-1182,-409,10427,-469,322,-999,10.0,-9.022900763358779,-3.122137404580153,79.59541984732824,-0.2807201446533203,0.1927332336425781,-0.5979518646240234,0.11291307672347228,0.30064843330736113,-0.1598762600085919,0.5342196744338746,0.02521923110035795,0.5348146128982717,223.72550536909944,-7.687543794077438
26392,-177,86,9987,-4785,-182,-659,10.0,-1.3511450381679388,0.6564885496183206,76.23664122137404,-2.864063735961914,-0.10893617553710937,-0.39444472351074217,0.1265119894525582,2.827429215579486,0.469438180041146,0.5498600626783058,0.02676704070052041,0.5505111833527577,229.14590405465927,-7.427612435073098
26402,1858,180,10390,-2813,-1094,189,10.0,14.183206106870228,1.3740458015267176,79.31297709923665,-1.6837223175048828,-0.6548141540527344,0.1131260284423828,0.14008625440213607,1.5757977659130482,0.8834952290506481,0.5718761975857719,0.03353170774598044,0.5728584125152765,234.75458535598054,-7.126118692840547
26412,-1004,-1607,8869,-3373,318,-2003,10.0,-7.66412213740458,-12.267175572519085,67.70229007633588,-2.018910549926758,0.19033903198242186,-1.1988964813232421,0.15291575671669794,2.0243447242702244,0.11940348831117661,0.5898769100366847,0.03854620133278856,0.5911349918856225,240.56335089409168,-6.765729147446773
26422,-424,-1042,9222,-1421,3566,3733,10.0,-3.236641221374046,-7.9541984732824424,70.3969465648855,-0.8505401397705078,2.1344307800292968,2.23438869934082,0.16496718858610038,1.1895091374862785,-1.965777529613653,0.6059461793454698,0.029314331126274736,0.6066548460803335,246.54246634100338,-6.426426485151405
26432,1163,2126,12763,-3557,618,2621,10.0,8.877862595419847,16.229007633587788,97.42748091603053,-2.129043826293945,0.3699041564941406,1.5688006378173827,0.17961263271018485,2.1608766372545953,0.016396885047958998,0.6226981082191768,0.01956742790344474,0.6230054720582301,252.68568777882754,-6.182017690002768
26442,879,1831,14659,911,-1466,741,10.0,6.709923664122138,13.977099236641221,111.90076335877863,0.5452794281005859,-0.8774749084472656,0.4435258575439453,0.19787996811025316,-0.7071423749309181,0.7531543873876723,0.6299667795307937,0.02341518426562213,0.6304017878834043,258.9490122175762,-5.967104629157477
26452,3088,183,18634,-2089,-2194,-1367,10.0,23.572519083969464,1.3969465648854962,142.24427480916032,-1.2503718170166014,-1.313219610595703,-0.8182184173583984,0.22005830657844258,0.9335606108765091,1.5544902740970772,0.6310988707105218,0.034953407573047685,0.6320660766985233,265.2543404687837,-5.675261669964082
26462,601,-516,20809,-433,-1766,1429,10.0,4.587786259541985,-3.9389312977099236,158.84732824427482,-0.25917232971191406,-1.0570400329589844,0.8553285430908203,0.24633350569538864,-0.006410294814499229,1.0883302972382158,0.635734622290831,0.04816751042972152,0.6375567575049792,271.5885079337892,-5.259657079950319
