gyroX,gyroY,gyroZ,accelX,accelY,accelZ,encoderR,encoderL,timestamp,timestamp_s,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x,y,theta,linear_displacement,delta_theta_odom,delta_theta_gyro
-541.0,-2927.0,-20807.0,-1532.0,5516.0,15320.0,-5.0,0.0,18572.0,18.572,0.00999999999999801,-4.129770992366412,-22.34351145038168,-158.8320610687023,-0.9169792358398436,3.3016040893554686,9.169792358398437,-0.06808575499676804,0.0056465250041688045,-0.424340035800009,0.0,0.0,-0.02772142423377007
1392.0,-1108.0,-22989.0,-2604.0,5796.0,13264.0,-5.0,0.0,18582.0,18.582,0.010000000000001563,10.625954198473282,-8.458015267175572,-175.4885496183206,-1.5586252807617187,3.469198205566406,7.939172705078125,-0.06808575499676804,0.0056465250041688045,-0.45496856570390515,0.0,0.0,-0.030628529903896116
-1200.0,1274.0,-23993.0,252.0,9212.0,21376.0,-6.0,0.0,18592.0,18.592,0.00999999999999801,-9.16030534351145,9.725190839694656,-183.15267175572518,0.15083470458984374,5.513846423339843,12.794613671875,-0.09888123533357007,0.0213264651621366,-0.48693473726351705,-0.03455751918948772,-0.6520286639525985,-0.03196617155961192
3245.0,3614.0,-25332.0,-1080.0,2256.0,14796.0,-6.0,0.0,18602.0,18.602,0.010000000000001563,24.770992366412212,27.587786259541986,-193.3740458015267,-0.6464344482421874,1.350329736328125,8.856151940917968,-0.09888123533357007,0.0213264651621366,-0.5206848751349119,0.0,0.0,-0.03375013787139486
4268.0,-1496.0,-25413.0,1100.0,4032.0,15404.0,-6.0,0.0,18612.0,18.612,0.00999999999999801,32.58015267175573,-11.419847328244275,-193.99236641221373,0.6584054565429687,2.4133552734375,9.220070593261719,-0.09888123533357007,0.0213264651621366,-0.5545429303111891,0.0,0.0,-0.03385805517627715
2303.0,-1597.0,-22820.0,1848.0,2736.0,14496.0,-6.0,0.0,18622.0,18.622,0.010000000000001563,17.580152671755727,-12.19083969465649,-174.19847328244273,1.1061211669921875,1.637633935546875,8.67658681640625,-0.09888123533357007,0.0213264651621366,-0.5849462994184538,0.0,0.0,-0.030403369107264752
3496.0,-1303.0,-21439.0,-1088.0,1912.0,17656.0,-6.0,0.0,18633.0,18.633,0.010999999999999233,26.68702290076336,-9.946564885496183,-163.65648854961833,-0.6512228515624999,1.1444283935546875,10.568006127929687,-0.09888123533357007,0.0213264651621366,-0.6163660896603272,0.0,0.0,-0.03141979024187344
2225.0,1357.0,-18502.0,-2748.0,4860.0,17696.0,-6.0,0.0,18642.0,18.642,0.009000000000000341,16.984732824427482,10.358778625954198,-141.23664122137404,-1.6448165405273436,2.9089550170898435,10.59194814453125,-0.09888123533357007,0.0213264651621366,-0.6385514893842664,0.0,0.0,-0.022185399723939146
2225.0,1357.0,-18502.0,-2748.0,4860.0,17696.0,-6.0,0.0,18652.0,18.652,0.010000000000001563,16.984732824427482,10.358778625954198,-141.23664122137404,-1.6448165405273436,2.9089550170898435,10.59194814453125,-0.09888123533357007,0.0213264651621366,-0.6632019335219795,0.0,0.0,-0.02465044413771308
801.0,-273.0,-16115.0,2252.0,-952.0,20408.0,-6.0,0.0,18662.0,18.662,0.00999999999999801,6.114503816793893,-2.0839694656488548,-123.01526717557252,1.3479355346679687,-0.5698199951171875,12.215216870117187,-0.09888123533357007,0.0213264651621366,-0.6846721479463177,0.0,0.0,-0.021470214424338187
-46.0,331.0,-14388.0,-1820.0,1892.0,16852.0,-6.0,0.0,18672.0,18.672,0.010000000000001563,-0.3511450381679389,2.5267175572519083,-109.83206106870229,-1.0893617553710937,1.1324573852539062,10.08677159423828,-0.09888123533357007,0.0213264651621366,-0.7038414588453241,0.0,0.0,-0.019169310899006364
176.0,600.0,-14512.0,2120.0,560.0,17436.0,-7.0,0.0,18682.0,18.682,0.00999999999999801,1.3435114503816794,4.580152671755725,-110.77862595419847,1.2689268798828124,0.33518823242187495,10.436325036621094,-0.12500914273371683,0.043944037698135444,-0.7231759764826804,-0.03455751918948772,-0.6520286639525985,-0.01933451763735624
3733.0,2713.0,-15256.0,-100.0,2688.0,21568.0,-7.0,0.0,18692.0,18.692,0.010000000000001563,28.49618320610687,20.709923664122137,-116.45801526717557,-0.05985504150390625,1.608903515625,12.9095353515625,-0.12500914273371683,0.043944037698135444,-0.743501734550184,0.0,0.0,-0.02032575806750355
3733.0,2713.0,-15256.0,-100.0,2688.0,21568.0,-7.0,0.0,18702.0,18.702,0.010000000000001563,28.49618320610687,20.709923664122137,-116.45801526717557,-0.05985504150390625,1.608903515625,12.9095353515625,-0.12500914273371683,0.043944037698135444,-0.7638274926176876,0.0,0.0,-0.02032575806750355
1233.0,451.0,-15454.0,3184.0,2572.0,16468.0,-7.0,0.0,18712.0,18.712,0.00999999999999801,9.412213740458014,3.4427480916030535,-117.96946564885496,1.905784521484375,1.5394716674804687,9.85692823486328,-0.12500914273371683,0.043944037698135444,-0.7844170485415921,0.0,0.0,-0.020589555923904584
-344.0,-638.0,-15535.0,-448.0,2932.0,17444.0,-7.0,0.0,18722.0,18.722,0.010000000000001563,-2.6259541984732824,-4.870229007633588,-118.58778625954199,-0.26815058593749996,1.7549498168945312,10.441113439941406,-0.12500914273371683,0.043944037698135444,-0.8051145217703983,0.0,0.0,-0.02069747322880622
-2101.0,-626.0,-17908.0,-1676.0,4476.0,12552.0,-7.0,0.0,18732.0,18.732,0.00999999999999801,-16.0381679389313,-4.778625954198473,-136.70229007633588,-1.0031704956054688,2.6791116577148437,7.513004809570312,-0.12500914273371683,0.043944037698135444,-0.8289735723388779,0.0,0.0,-0.023859050568479572
-1291.0,289.0,-20792.0,2852.0,7868.0,17472.0,-7.0,0.0,18742.0,18.742,0.010000000000001563,-9.854961832061068,2.2061068702290076,-158.7175572519084,1.707065783691406,4.709394665527343,10.457872851562499,-0.12500914273371683,0.043944037698135444,-0.8566750118865663,0.0,0.0,-0.02770143954768838
-1015.0,-659.0,-22328.0,-3252.0,8448.0,15276.0,-7.0,0.0,18752.0,18.752,0.00999999999999801,-7.748091603053435,-5.030534351145038,-170.44274809160305,-1.946485949707031,5.05655390625,9.143456140136719,-0.12500914273371683,0.043944037698135444,-0.8864228832900178,0.0,0.0,-0.029747871403451632
277.0,206.0,-24076.0,-488.0,2740.0,13676.0,-7.0,0.0,18762.0,18.762,0.010000000000001563,2.114503816793893,1.5725190839694656,-183.78625954198472,-0.2920926025390625,1.6400281372070311,8.185775476074218,-0.12500914273371683,0.043944037698135444,-0.9184996367793477,0.0,0.0,-0.032076753489329805
404.0,1514.0,-25081.0,232.0,4980.0,20188.0,-8.0,0.0,18772.0,18.772,0.00999999999999801,3.0839694656488548,11.557251908396946,-191.45801526717557,0.1388636962890625,2.980781066894531,12.083535778808592,-0.14552426441561894,0.07175324327665855,-0.9519153642367988,-0.03455751918948772,-0.6520286639525985,-0.033415727457451194
1607.0,2171.0,-24935.0,236.0,1828.0,19308.0,-8.0,0.0,18782.0,18.782,0.010000000000001563,12.267175572519085,16.572519083969464,-190.34351145038167,0.14125789794921875,1.0941501586914062,11.556811413574218,-0.14552426441561894,0.07175324327665855,-0.9851365740829708,0.0,0.0,-0.033221209846172065
849.0,-434.0,-24133.0,4804.0,-400.0,15040.0,-8.0,0.0,18792.0,18.792,0.010000000000001563,6.480916030534351,-3.312977099236641,-184.22137404580153,2.8754361938476563,-0.239420166015625,9.0021982421875,-0.14552426441561894,0.07175324327665855,-1.0172892693794484,0.0,0.0,-0.032152695296477664
