timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x_ins,y_ins,theta_ins
25472956,47,-102,-5630,-2124,212,3109,10000.0,0.35877862595419846,-0.7786259541984732,-42.97709923664122,-1.2713210815429687,0.12689268798828124,1.860893240356445,-158.36418378104185,-631.6112454879101,3.3579376875827753
25483011,-604,-951,-3688,32,1536,-547,10055.0,-4.6106870229007635,-7.259541984732825,-28.15267175572519,0.01915361328125,0.9193734375,-0.3274070770263672,-153.57017713825286,-630.7335627996005,3.352997094804224
25492954,74,-232,-1791,-1208,1664,-4979,9943.0,0.5648854961832062,-1.7709923664122138,-13.67175572519084,-0.7230489013671875,0.9959878906249999,-2.980182516479492,-148.73920963885868,-629.9471459525342,3.3506245244625545
25502931,64,809,-730,-1360,732,1049,9977.0,0.48854961832061067,6.175572519083969,-5.572519083969466,-0.814028564453125,0.4381389038085937,0.6278793853759765,-143.80343261821474,-629.1839743444403,3.3496541733586294
25512920,-434,263,189,-2892,-108,3025,9989.0,-3.312977099236641,2.0076335877862594,1.4427480916030535,-1.7310078002929687,-0.06464344482421874,1.810615005493164,-138.694066798391,-628.3778539240491,3.3499057034156334
25522919,-160,-657,706,448,144,-4115,9999.0,-1.2213740458015268,-5.015267175572519,5.3893129770992365,0.26815058593749996,0.086191259765625,-2.4630349578857422,-133.60402077060687,-627.5849250928376,3.350846221913086
25533025,156,-1307,793,4556,2728,3889,10106.0,1.1908396946564885,-9.977099236641221,6.0534351145038165,2.7269956909179687,1.6328455322265625,2.327762564086914,-128.69706381578794,-627.0047467464914,3.3519139448027486
25543310,228,-1224,1848,-60,588,3025,10285.0,1.7404580152671756,-9.34351145038168,14.106870229007633,-0.03591302490234375,0.35194764404296874,1.810615005493164,-123.69161570258079,-626.4498788752769,3.3544462283590306
25554827,705,35,2210,-728,-436,-475,11517.0,5.3816793893129775,0.26717557251908397,16.870229007633586,-0.43574470214843747,-0.2609679809570312,-0.28431144714355466,-118.03755999976374,-625.7823353303404,3.35783730583685
25562964,705,35,2210,-728,-436,-475,8137.0,5.3816793893129775,0.26717557251908397,16.870229007633586,-0.43574470214843747,-0.2609679809570312,-0.28431144714355466,-114.01843576307212,-625.287576539731,3.360233172593559
25572918,143,-345,1882,3116,532,1337,9954.0,1.0916030534351144,-2.633587786259542,14.366412213740459,1.8650830932617186,0.3184288208007812,0.8002619049072265,-109.27521329124274,-624.7536528965162,3.362729050446882
25582916,730,-38,2250,404,68,1873,9998.0,5.572519083969466,-0.2900763358778626,17.17557251908397,0.24181436767578124,0.040701428222656245,1.121084927368164,-104.5336870776573,-624.226708337809,3.36572615382003
25592968,449,637,4831,-2012,-2236,2381,10052.0,3.427480916030534,4.862595419847328,36.87786259541985,-1.2042834350585936,-1.3383587280273437,1.4251485382080078,-99.67899774220196,-623.5374533685032,3.3721960243403277
25602998,25,559,6355,-1424,-404,1877,10030.0,0.19083969465648856,4.267175572519084,48.51145038167939,-0.852335791015625,-0.24181436767578124,1.1234791290283201,-94.75738813119895,-622.8057655498525,3.380688270217132
25612940,-106,-253,9713,-1592,-968,-2975,9942.0,-0.8091603053435115,-1.9312977099236641,74.14503816793894,-0.9528922607421875,-0.5793968017578125,-1.7806874847412109,-89.80202350526868,-622.0015548651298,3.393553964265283
25622935,-305,945,13809,-2312,-488,-8575,9995.0,-2.3282442748091605,7.213740458015267,105.41221374045801,-1.3838485595703125,-0.2920926025390625,-5.1325698089599605,-84.69481026814326,-621.1280155112058,3.411942667330145
25632936,2413,5361,14543,-3168,-1680,4029,10001.0,18.419847328244273,40.9236641221374,111.01526717557252,-1.89620771484375,-1.005564697265625,2.4115596221923825,-79.4315109873642,-620.1033832021654,3.4313204242340265
25642973,-1218,187,13933,-3976,860,-1939,10037.0,-9.297709923664122,1.4274809160305344,106.3587786259542,-2.379836450195312,0.5147533569335937,-1.1605892547607422,-73.90508762408626,-619.051711042198,3.4499522164906438
25652907,-847,1657,13205,1104,920,545,9934.0,-6.465648854961832,12.648854961832061,100.80152671755725,0.6607996582031249,0.5506663818359374,0.32620997619628905,-68.47976099874802,-618.0831880315031,3.467429286790099
25662975,-245,257,12500,-476,-808,429,10068.0,-1.8702290076335877,1.9618320610687023,95.41984732824427,-0.28490999755859375,-0.4836287353515625,0.2567781280517578,-62.97051936937914,-617.0457248978403,3.4841964384208994
25672998,-245,257,12500,-476,-808,429,10023.0,-1.8702290076335877,1.9618320610687023,95.41984732824427,-0.28490999755859375,-0.4836287353515625,0.2567781280517578,-57.47619079516705,-615.9573516650685,3.5008886474788565
25682894,596,430,11932,-6980,-3792,-2027,9896.0,4.549618320610687,3.282442748091603,91.08396946564885,-4.177881896972656,-2.269703173828125,-1.2132616912841796,-51.75219177512862,-614.5260752041581,3.516620468731524
25692970,-770,55,11556,-1960,1336,-1339,10076.0,-5.877862595419847,0.4198473282442748,88.21374045801527,-1.1731588134765625,0.7996633544921875,-0.8014590057373047,-45.78303364011366,-613.0984961201169,3.532133682032898
25702894,-715,-602,10981,508,-1540,-615,9924.0,-5.458015267175573,-4.595419847328245,83.82442748091603,0.30406361083984373,-0.9217676391601562,-0.36810850524902344,-39.96721945156651,-611.6208185899723,3.5466526156330715
25712925,2268,-1812,11045,-1480,3316,157,10031.0,17.31297709923664,-13.83206106870229,84.31297709923665,-0.8858546142578124,1.9847931762695312,0.0939724151611328,-33.925902378941885,-610.2732466567942,3.561413623869103
25722903,1430,157,11932,-1640,-296,-1671,9978.0,10.916030534351146,1.1984732824427482,91.08396946564885,-0.9816226806640624,-0.1771709228515625,-1.0001777435302734,-27.835348607707502,-608.8755580565476,3.577275801765133
25732966,-72,795,12296,-568,-1600,-1003,10063.0,-0.549618320610687,6.068702290076335,93.86259541984732,-0.3399766357421875,-0.9576806640625,-0.6003460662841796,-21.704315077125745,-607.363688622575,3.593761122424646
25742980,-1803,-567,11956,-3980,-1680,941,10014.0,-13.763358778625955,-4.32824427480916,91.26717557251908,-2.3822306518554686,-1.005564697265625,0.5632359405517577,-15.435444393139717,-605.6614014761059,3.6097125503299865
25752920,-1354,-2189,10788,2632,-292,-607,9940.0,-10.335877862595419,-16.709923664122137,82.35114503816794,1.5753846923828123,-0.17477672119140625,-0.3633201019287109,-9.358800242335452,-604.0286054359774,3.6239992986495984
25762919,-1354,-2189,10788,2632,-292,-607,9999.0,-10.335877862595419,-16.709923664122137,82.35114503816794,1.5753846923828123,-0.17477672119140625,-0.3633201019287109,-3.3928835302637057,-602.445822939444,3.6383708475880088
25772923,-1421,-2086,8990,2248,-1892,2457,10004.0,-10.84732824427481,-15.923664122137405,68.62595419847328,1.3455413330078123,-1.1324573852539062,1.4706383697509764,2.4032041187700797,-600.8288598875463,3.650353127114283
25782920,-936,-513,8848,356,1852,1273,9997.0,-7.145038167938932,-3.9160305343511452,67.54198473282443,0.21308394775390624,1.1085153686523437,0.7619546783447265,8.231860456158875,-599.3197310495794,3.6621378907934274
25793087,54,3,7545,516,-2168,-2511,10167.0,0.4122137404580153,0.022900763358778626,57.595419847328245,0.30885201416015623,-1.2976572998046874,-1.502960092163086,14.064201771244813,-597.6854181102402,3.6723580612591085
25803045,-35,668,8659,-188,-1548,-1831,9958.0,-0.26717557251908397,5.099236641221374,66.09923664122137,-0.11252747802734374,-0.9265560424804687,-1.0959458099365234,19.738791372778643,-596.000244048948,3.6838461011124277
25812907,2018,796,10033,-8132,-1276,2525,9862.0,15.404580152671755,6.076335877862595,76.58778625954199,-4.867411975097656,-0.7637503295898437,1.5113397979736327,25.721739327700252,-594.0185706805464,3.6970287256357426
25822916,1692,453,11409,2080,-428,1469,10009.0,12.916030534351146,3.4580152671755724,87.09160305343511,1.24498486328125,-0.2561795776367187,0.8792705596923828,31.6750437196667,-592.053134078164,3.7122427581939834
25832988,2134,-320,13650,-332,816,-1131,10072.0,16.290076335877863,-2.4427480916030535,104.19847328244275,-0.19871873779296872,0.488417138671875,-0.6769605194091797,37.710106557026705,-590.1053274920943,3.730559762200555
25842956,253,-224,15384,-1696,172,1421,9968.0,1.9312977099236641,-1.7099236641221374,117.43511450381679,-1.01514150390625,0.10295067138671875,0.8505401397705078,43.771417377332995,-588.1282884584159,3.750990468115059
25852938,253,-224,15384,-1696,172,1421,9982.0,1.9312977099236641,-1.7099236641221374,117.43511450381679,-1.01514150390625,0.10295067138671875,0.8505401397705078,49.92902326578771,-586.0971825751918,3.771449868841241
25862901,-2095,-1247,16157,1492,-344,2977,9963.0,-15.992366412213741,-9.51908396946565,123.33587786259542,0.8930372192382812,-0.2059013427734375,1.781884585571289,55.99202044593534,-584.107426651097,3.7928963935519215
25872923,-1825,-1051,17737,-1684,-1308,29,10022.0,-13.931297709923664,-8.022900763358779,135.3969465648855,-1.0079588989257813,-0.7829039428710937,0.017357962036132813,62.12082350295154,-581.9812323432906,3.816579607394286
25882922,-1720,-306,19777,-252,-2624,-619,9999.0,-13.129770992366412,-2.33587786259542,150.96946564885496,-0.15083470458984374,-1.5705962890624998,-0.3705027069091797,68.14576204209055,-579.7302202746171,3.8429261149355303
25892905,-677,1126,21322,-2832,-3480,-319,9983.0,-5.1679389312977095,8.595419847328245,162.76335877862596,-1.695094775390625,-2.0829554443359375,-0.19093758239746092,74.14859278831884,-577.2154604102354,3.8712853871977395
25902894,-1611,421,23088,-3476,-6380,3001,9989.0,-12.297709923664122,3.213740458015267,176.24427480916032,-2.080561242675781,-3.8187516479492185,1.7962497955322265,80.04282704241844,-574.280028717275,3.90201197955812
25913013,1429,180,23229,1388,-4104,-1147,10119.0,10.908396946564885,1.3740458015267176,177.3206106870229,0.8307879760742187,-2.4564509033203126,-0.6865373260498047,85.77502158434643,-571.190201316374,3.933328549029564
25922952,96,1592,24957,-2516,-4616,177,9939.0,0.732824427480916,12.15267175572519,190.5114503816794,-1.5059528442382812,-2.7629087158203123,0.10594342346191406,91.3057779225737,-567.8608423992439,3.9663762415722785
25932954,-564,211,26110,-1700,-2824,-6571,10002.0,-4.305343511450381,1.6106870229007633,199.31297709923663,-1.0175357055664063,-1.6903063720703124,-3.9330747772216794,96.8099356847498,-564.3228836315669,4.001169875831001
25942905,-606,466,25875,-376,-5204,-3059,9951.0,-4.625954198473282,3.5572519083969465,197.51908396946564,-0.22505495605468748,-3.114856359863281,-1.8309657196044922,102.05955502802288,-560.5923887846748,4.035474538779715
25953018,-2529,-3826,25024,456,-4112,2733,10113.0,-19.30534351145038,-29.206106870229007,191.0229007633588,0.27293898925781246,-2.461239306640625,1.6358382843017578,107.1764752178105,-556.6725292010146,4.069191064007874
25962917,-3903,-1872,25109,-2336,-1668,1773,9899.0,-29.793893129770993,-14.290076335877863,191.67175572519085,-1.39821376953125,-0.9983820922851562,1.0612298858642577,112.18343255341263,-552.6672715898461,4.102306220587433
25972906,-3903,-1872,25109,-2336,-1668,1773,9989.0,-29.793893129770993,-14.290076335877863,191.67175572519085,-1.39821376953125,-0.9983820922851562,1.0612298858642577,117.22847099233668,-548.4543310976143,4.135722454456837
25982918,-32,375,25216,-780,-4616,-1751,10012.0,-0.24427480916030533,2.8625954198473282,192.4885496183206,-0.46686932373046874,-2.7629087158203123,-1.0480617767333984,122.07219487282096,-544.0485118601395,4.169358358796678
